Breed,Group,P1,P2,P3,P4,P5,P6,P7,P8,P9
Affenpinscher,Toys,2.216666667,2.866666667,1.966666667,1.65,4.15,2.55,2.5,2.5,2.05
Afghan Hound,Hounds,2.0,3.133333333,1.733333333,1.616666667,4.15,2.3,2.4,2.3,2.133333333
Airedale Terrier,Terriers,2.0,3.033333333,1.8,1.583333333,4.4,2.35,2.133333333,2.325,2.116666667
Akita,Utility,2.416666667,2.466666667,1.833333333,2.15,4.15,2.15,2.233333333,2.1,2.333333333
Akita (Japanese),Utility,2.483333333,2.366666667,1.866666667,2.25,4.05,2.15,2.266666667,2.1,2.366666667
Alaskan Malamute,Utility,2.1,3.1,1.966666667,1.633333333,4.55,2.55,2.333333333,2.35,2.166666667
American Hairless Terrier,Terriers,1.966666667,3.0,1.966666667,1.516666667,4.25,2.65,2.2,2.55,1.966666667
American Staffordshire Terrier,Terriers,2.133333333,2.8,1.933333333,1.716666667,4.4,2.45,2.2,2.3,2.133333333
Anatolian Shepherd Dog,Utility,2.283333333,2.366666667,1.666666667,1.966666667,4.25,2.0,2.166666667,1.925,2.2
Australasian Bosdog,Non-Sporting,1.933333333,2.633333333,1.766666667,1.533333333,4.4,2.3,2.133333333,2.225,1.9
Australian Cattle Dog,Working Dogs,1.75,3.433333333,1.633333333,1.283333333,4.65,2.2,1.966666667,2.25,2.05
Australian Kelpie,Working Dogs,1.65,3.333333333,1.533333333,1.183333333,4.75,2.1,1.866666667,2.15,1.95
Australian Shepherd,Working Dogs,1.8,3.166666667,1.8,1.4,4.55,2.4,1.966666667,2.325,2.016666667
Australian Silky Terrier,Toys,2.083333333,2.9,1.966666667,1.6,4.25,2.55,2.3,2.45,2.05
Australian Stumpy Tail Cattle Dog,Working Dogs,1.75,3.333333333,1.6,1.283333333,4.65,2.15,1.966666667,2.2,2.016666667
Australian Terrier,Terriers,2.0,2.866666667,1.866666667,1.566666667,4.35,2.45,2.166666667,2.35,2.016666667
Azawakh,Hounds,2.133333333,3.1,1.733333333,1.883333333,3.95,2.2,2.333333333,2.275,2.333333333
Basenji,Hounds,2.233333333,3.2,1.9,1.783333333,4.15,2.4,2.533333333,2.4,2.3
Basset Fauve De Bretagne,Hounds,1.666666667,2.7,1.533333333,1.183333333,4.6,2.1,2.0,2.0,1.733333333
Basset Hound,Hounds,1.666666667,2.4,1.533333333,1.2,4.5,2.1,2.033333333,1.975,1.6
Bavarian Mountain Scent Hound,Hounds,1.75,2.833333333,1.566666667,1.35,4.45,2.1,2.033333333,2.075,1.883333333
Beagle,Hounds,1.6,2.9,1.533333333,1.0,4.75,2.15,2.033333333,2.075,1.65
Bearded Collie,Working Dogs,1.716666667,3.033333333,1.766666667,1.216666667,4.65,2.4,2.033333333,2.3,1.816666667
Beauceron (Berger de Beauce),Working Dogs,1.95,2.866666667,1.733333333,1.666666667,4.45,2.2,1.966666667,2.15,2.116666667
Bedlington Terrier,Terriers,1.916666667,2.666666667,1.733333333,1.483333333,4.4,2.3,2.1,2.225,1.9
Belgian Shepherd Dog (Groenendael),Working Dogs,1.9,3.0,1.8,1.616666667,4.3,2.35,1.966666667,2.325,2.1
Belgian Shepherd Dog (Laekenois),Working Dogs,1.9,2.9,1.733333333,1.616666667,4.3,2.25,1.966666667,2.25,2.066666667
Belgian Shepherd Dog (Malinois),Working Dogs,1.933333333,3.1,1.733333333,1.616666667,4.4,2.2,2.0,2.25,2.166666667
Belgian Shepherd Dog (Tervueren),Working Dogs,1.9,3.0,1.8,1.616666667,4.3,2.35,1.966666667,2.325,2.1
Bergamasco Shepherd Dog,Working Dogs,1.8,2.666666667,1.6,1.433333333,4.5,2.1,1.966666667,2.075,1.866666667
